,img_name,noise_scale,corr,noise_idx,mat_filename,mat_key
73,imk00330.iml,0.8,0.9886478042245316,3,imk00330.iml.mat,noise_3
74,imk00330.iml,1.0,0.9884991948743728,4,imk00330.iml.mat,noise_4
80,imk00678.iml,0.1,0.9890182428784612,0,imk00678.iml.mat,noise_0
81,imk00678.iml,0.2,0.988965775178158,1,imk00678.iml.mat,noise_1
82,imk00678.iml,0.5,0.9888317925458261,2,imk00678.iml.mat,noise_2
83,imk00678.iml,0.8,0.9888188726764138,3,imk00678.iml.mat,noise_3
84,imk00678.iml,1.0,0.988863517794381,4,imk00678.iml.mat,noise_4
85,imk00122.iml,0.1,0.9869557024054885,0,imk00122.iml.mat,noise_0
86,imk00122.iml,0.2,0.9870767833347357,1,imk00122.iml.mat,noise_1
87,imk00122.iml,0.5,0.9869216555939408,2,imk00122.iml.mat,noise_2
88,imk00122.iml,0.8,0.9868505142137196,3,imk00122.iml.mat,noise_3
89,imk00122.iml,1.0,0.9869956109273845,4,imk00122.iml.mat,noise_4
95,imk00282.iml,0.1,0.9571459120072897,0,imk00282.iml.mat,noise_0
96,imk00282.iml,0.2,0.9537619667368924,1,imk00282.iml.mat,noise_1
97,imk00282.iml,0.5,0.9538279646434049,2,imk00282.iml.mat,noise_2
98,imk00282.iml,0.8,0.9539581906145925,3,imk00282.iml.mat,noise_3
99,imk00282.iml,1.0,0.9540275173935338,4,imk00282.iml.mat,noise_4
100,imk00255.iml,0.1,0.9810487791323829,0,imk00255.iml.mat,noise_0
101,imk00255.iml,0.2,0.9808149468915691,1,imk00255.iml.mat,noise_1
102,imk00255.iml,0.5,0.9808142682015104,2,imk00255.iml.mat,noise_2
103,imk00255.iml,0.8,0.9808640345644192,3,imk00255.iml.mat,noise_3
104,imk00255.iml,1.0,0.9809758035413416,4,imk00255.iml.mat,noise_4
105,imk01177.iml,0.1,0.9599232107236348,0,imk01177.iml.mat,noise_0
106,imk01177.iml,0.2,0.9596643519816528,1,imk01177.iml.mat,noise_1
107,imk01177.iml,0.5,0.9594712223203546,2,imk01177.iml.mat,noise_2
108,imk01177.iml,0.8,0.9595521359420666,3,imk01177.iml.mat,noise_3
109,imk01177.iml,1.0,0.9597239305515259,4,imk01177.iml.mat,noise_4
115,imk00645.iml,0.1,0.9795741882983616,0,imk00645.iml.mat,noise_0
116,imk00645.iml,0.2,0.9799928493246787,1,imk00645.iml.mat,noise_1
117,imk00645.iml,0.5,0.9798703002396045,2,imk00645.iml.mat,noise_2
118,imk00645.iml,0.8,0.979482320132889,3,imk00645.iml.mat,noise_3
119,imk00645.iml,1.0,0.9795982601756936,4,imk00645.iml.mat,noise_4
120,imk00335.iml,0.1,0.9937991833440869,0,imk00335.iml.mat,noise_0
121,imk00335.iml,0.2,0.9938569741705,1,imk00335.iml.mat,noise_1
122,imk00335.iml,0.5,0.9937024037206365,2,imk00335.iml.mat,noise_2
123,imk00335.iml,0.8,0.993674649303008,3,imk00335.iml.mat,noise_3
124,imk00335.iml,1.0,0.9865097321276113,4,imk00335.iml.mat,noise_4
